Sygnatura czasowa,Płeć,Wiek,Miejsce zamieszkania,Wykształcenie,"Miesięczny dochód netto (""na rękę"")",Czy zdarza Ci się kupować kosmetyki zrównoważone?,Które z tych cech posiadanych przez kosmetyki zrównoważone są dla Ciebie najważniejsze lub decydujące przy ich zakupie? (wybierz maksymalnie 3),Jak ważne są dla Ciebie poniższe czynniki podczas podejmowania decyzji o zakupie kosmetyków zrównoważonych? [cena],Jak ważne są dla Ciebie poniższe czynniki podczas podejmowania decyzji o zakupie kosmetyków zrównoważonych? [skład],Jak ważne są dla Ciebie poniższe czynniki podczas podejmowania decyzji o zakupie kosmetyków zrównoważonych? [marka],Jak ważne są dla Ciebie poniższe czynniki podczas podejmowania decyzji o zakupie kosmetyków zrównoważonych? [estetyczne opakowanie],Jak ważne są dla Ciebie poniższe czynniki podczas podejmowania decyzji o zakupie kosmetyków zrównoważonych? [posiadane certyfikaty jakości lub atesty],"Jeśli zobaczę reklamę kosmetyku zrównoważonego, jest większa szansa, że zdecyduję się na jego zakup.","Jeśli kosmetyk zrównoważony zostanie polecony przez lubianego przeze mnie influencera, twórcę na social media lub celebrytę, jest większa szansa, że zdecyduję się na jego zakup.","Jeśli zobaczę kosmetyk zrównoważony w kampanii edukacyjnej lub środowiskowej, jest większa szansa, że zdecyduję się na jego zakup.",Często rozmawiam ze znajomymi o kosmetykach zrównoważonych.,Często polecam moim znajomym wypróbowane przeze mnie kosmetyki zrównoważone.,"Uważam, że jestem w stanie zmienić nastawienie lub/i opinię moich znajomych w kwestii kosmetyków zrównoważonych.","Wybierając kosmetyki zrównoważone, często kieruję się opinią lub rekomendacjami znajomych.","Jeśli moi znajomi używają i polecają konkretny kosmetyk zrównoważony, jest większa szansa, że zdecyduję się na jego zakup.","Uważam, że moi znajomi są w stanie wpłynąć na moją opinię lub/i nastawienie w kwestii kosmetyków zrównoważonych.","Zakupię kosmetyki zrównoważone, nawet jeśli będą droższe niż normalne kosmetyki.","W innych sferach życia poza kosmetykami, często sięgam po ekologiczne, przyjazne dla środowiska produkty (np. artykuły gospodarstwa domowego, ubrania czy artykuły spożywcze).",Regularnie segreguję odpady.,Zwracam uwagę na oszczędzanie energii elektrycznej.,"Jeśli nie stosujesz kosmetyków zrównoważonych, które z tych przyczyn są Ci bliskie? (wybierz maksymalnie 3)"
2024-03-06 11:39:27,kobieta,21-25,miejscowość powyżej 500 tys. mieszkańców,średnie,3000 i poniżej,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego)",ważne,bardzo ważne,trochę ważne,średnio ważne,średnio ważne,zdecydowanie się nie zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,raczej się nie zgadzam,
2024-03-06 13:31:54,kobieta,31-35,miejscowość do 100 tys. mieszkańców,wyższe,5001 - 6000,tak,"cruelty-free (nietestowane na zwierzętach), opakowanie z recyklingu",bardzo ważne,bardzo ważne,ważne,średnio ważne,ważne,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-06 14:58:49,kobieta,31-35,miejscowość do 100 tys. mieszkańców,wyższe,5001 - 6000,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego), opakowanie z recyklingu",bardzo ważne,bardzo ważne,trochę ważne,średnio ważne,średnio ważne,nie mam zdania/trudno powiedzieć,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-06 15:00:46,mężczyzna,26-30,miejscowość do 100 tys. mieszkańców,wyższe,4001 - 5000,nie,,,,,,,,,,,,,,,,,,,,"brak dostrzegalnej różnicy w porównaniu z konwencjonalnymi kosmetykami, krótki okres przydatności do użycia"
2024-03-06 15:02:28,kobieta,26-30,miejscowość do 500 tys. mieszkańców,średnie,4001 - 5000,tak,"ekologiczne, organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych)",średnio ważne,ważne,trochę ważne,trochę ważne,ważne,zdecydowanie się zgadzam,raczej się nie zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-06 15:09:09,mężczyzna,31-35,miejscowość do 250 tys. mieszkańców,wyższe,5001 - 6000,tak,"naturalne (min. 95% składników pochodzenia naturalnego), opakowanie z recyklingu, zero-waste (zero odpadów)",ważne,bardzo ważne,średnio ważne,ważne,ważne,zdecydowanie się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,
2024-03-06 15:15:45,kobieta,26-30,miejscowość do 100 tys. mieszkańców,wyższe,4001 - 5000,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego), organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych)",ważne,bardzo ważne,trochę ważne,trochę ważne,ważne,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-06 15:57:39,mężczyzna,26-30,miejscowość do 250 tys. mieszkańców,wyższe,5001 - 6000,tak,"cruelty-free (nietestowane na zwierzętach), fair-trade (sprawiedliwy handel), naturalne (min. 95% składników pochodzenia naturalnego)",średnio ważne,bardzo ważne,w ogóle nieważne,w ogóle nieważne,bardzo ważne,nie mam zdania/trudno powiedzieć,zdecydowanie się nie zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-06 16:00:05,kobieta,31-35,miejscowość powyżej 500 tys. mieszkańców,wyższe,3001 - 4000,nie,,,,,,,,,,,,,,,,,,,,"brak dostrzegalnej różnicy w porównaniu z konwencjonalnymi kosmetykami, niski stopień wiedzy na temat kosmetyków zrównoważonych"
2024-03-06 16:07:50,kobieta,26-30,wieś,wyższe,3001 - 4000,tak,"cruelty-free (nietestowane na zwierzętach), organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych)",średnio ważne,trochę ważne,w ogóle nieważne,średnio ważne,trochę ważne,nie mam zdania/trudno powiedzieć,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,
